"","feature","appearances","targets_covered","coverage_rate","mean_rank","median_rank","mean_theil_u","mean_mi","mean_cramer_v","mean_score","strength_score"
"151","Q279",1,1,0.0303030303030303,18,18,0.0279378924683282,0.0349990962031193,0.133622270564884,0.0406246913984211,3
"152","Q43",1,1,0.0303030303030303,18,18,0.00718047757787952,0.00867202378662846,0.0930125089341387,0.0162111445761301,3
"153","Q111",1,1,0.0303030303030303,19,19,0.00509490595039134,0.00615400139043576,0.11057840878657,0.0159609848660225,2
"154","Q118",1,1,0.0303030303030303,19,19,0.0413085782550186,0.0480473771667826,0.18365093604617,0.057564453707663,2
"155","Q243",1,1,0.0303030303030303,19,19,0.0245537280225443,0.0380906560455916,0.139054670067979,0.040064900634002,2
"156","Q57",1,1,0.0303030303030303,19,19,0.0143015655743502,0.0210679868950567,0.197856554674007,0.0346869908805279,2
"157","Q59",1,1,0.0303030303030303,19,19,0.0199743481158402,0.0263619972992135,0.140315674138682,0.0339247754731363,2
"158","Q213",1,1,0.0303030303030303,20,20,0.0226496879535103,0.0283162604721801,0.169498862832938,0.039034577197054,1
"159","Q214",1,1,0.0303030303030303,20,20,0.0203874204791448,0.029775197831321,0.170373133980343,0.0382023250349174,1
"160","Q50",1,1,0.0303030303030303,20,20,0.0397821405457171,0.0359019937331784,0.164771639597024,0.0511170464070862,1
"161","Q80",1,1,0.0303030303030303,20,20,0.106265935113006,0.135751697113921,0.330303129769766,0.137515383178956,1
